name,quantity,model_name,model_number,serial_number,country_of_origin,manufacturer,where_purchased,price,acquired_year,location,remark,department,decription,inventory_number,,,
Aggregate measure,1,,,,JP,,,,,irrigation,In order,water,,,,,
Beam apparatus,1,,,,JP,,,,,irrigation,In order,water,,,,,
Consolidated Test Apparatus,1,Double lever type,,,JP,Imani & co.ltd,,,,irrigation,In order,water,,,,,
Compression testing apparatus,1,,,,JP,,,,,irrigation,In order,water,,,,,
Concise stadia computer,10,,,,JP,,,,,irrigation,In order,water,,,,,
Cylindrical intake apparatus,3,DIK 550,,,,,,,,irrigation,In order,water,,,,,
Cylindrical intake apparatus,2,DIK 540,,,JP,,,,,irrigation,In order,water,,,,,
Cylindrical intake apparatus,11,,,,JP,,,,,irrigation,In order,water,,,,,
Current meter,1,PRICE TYPE,,,,,,,,irrigation,In order,water,,,,,
Drip irrigation kit,1,,,,,,,,,irrigation,In order,water,,,,,
Diapositive illuminator,1,1560,,,JP,Cartographic engineering co. ,,,,irrigation,In order,water,,,,,
Dynamic  pattern apparatus,1,,,,JP,,,,,irrigation,In order,water,,,,,
Evaporation Gauge,3,,,,JP,,,,,irrigation,In order,water,,,,,
Evaporation Gauge,,,,,JP,,,,,irrigation,In order,water,,,,,
Evaporation Gauge,,,,,JP,,,,,irrigation,In order,water,,,,,
Falling head permiameter,1,,,,,Imani & Co.ltd,,,,irrigation,In order,water,,,,,
Flow test equipment,1,HD-17,,,JP,,,,,irrigation,In order,water,,,,,
Induction motor,1,D769232j,,,JP,Hitachi ltd,,,,irrigation,In order,water,,,,,
Manometer,4,,,,JP,,,,,irrigation,In order,water,,,,,
Manometer,4,,,,JP,,,,,irrigation,In order,water,,,,,
Manometer,,,,,JP,,,,,irrigation,In order,water,,,,,
Manometer,,,,,JP,,,,,irrigation,In order,water,,,,,
Mixed flow pump,1,type spf,,,,,,,,irrigation,In order,water,,,,,
Soil thermometers,1,,,,,,,,,irrigation,In order,water,,,,,
Dry &Wet bulb thermometer,1,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,9,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,,,,,,,,,,irrigation,In order,water,,,,,
Meter rule,,,,,,,,,,irrigation,In order,water,,,,,
Current meters,,,,,,,,,,irrigation,In order,water,,,,,
Current meters,,,,,,,,,,irrigation,In order,water,,,,,
Moneymaker Pump,1,,,,,,,,,irrigation,In order,water,,,,,
Pressure gauge,,,,,,,,,,irrigation,In order,water,,,,,
Pressure gauge,,,,,,,,,,irrigation,In order,water,,,,,
Single ring infiltrometer,,,,,JP,,,,,irrigation,In order,water,,,,,
Single ring infiltrometer,,,,,JP,,,,,irrigation,In order,water,,,,,
Single ring infiltrometer,,,,,JP,,,,,irrigation,In order,water,,,,,
Single ring infiltrometer,,,,,JP,,,,,irrigation,In order,water,,,,,
,,,,,,,,,,,,water,,,,,
Double ring infiltrometer,6,,,,JP,,,,,irrigation,In order,water,,,,,
Hose pipe,1,,,,KE,,,,,irrigation,In order,water,,,,,
Magnifying glass,15,,,,,,,,,irrigation,In order,water,,,,,
Mirror stereoscope,15,,,,,,,,,irrigation,In order,water,,,,,
Mirror stereoscope,2,1561,,,,Cartographic engineering co,,,,irrigation,not working,water,,,,,
Micrometer marine sextant,1,,,,,,,,,irrigation,In order,water,,,,,
Optional accessories,,,,,,,,,,irrigation,In order,water,,,,,
Par shall flume(plastic),2,,,,JP,,,,,irrigation,In order,water,,,,,
Par shall flume(metallic),2,,,,JP,,,,,irrigation,In order,water,,,,,
Paddy field Receded Depth tester,2,aa-63,,,JP,,,,,irrigation,In order,water,,,,,
